policy_entropy,time_elapsed,n_updates,ep_reward_mean,fps,explained_variance,serial_timesteps,policy_loss,value_loss,approxkl,total_timesteps,clipfrac,ep_len_mean
0.38652468,1171.2403829097748,627,41.64839880999999,1126,0.7517016530036926,1284096,-0.0058249915,14.183726,0.0064410963,1284096,0.080566406,133.26
0.38804126,1173.059800863266,628,43.40429712,1138,0.7913889139890671,1286144,-0.0045465874,20.355175,0.0072526885,1286144,0.07832031,136.12
0.39465335,1174.8598220348358,629,45.05980181000001,1110,0.7308857142925262,1288192,-0.0076034805,23.086592,0.0066918083,1288192,0.075,140.25
0.40025073,1176.7050642967224,630,45.949061889999996,1182,0.6650806665420532,1290240,-0.004693953,15.123709,0.008079891,1290240,0.10131836,142.81
0.40369773,1178.437907218933,631,47.664641290000006,1149,0.8070258349180222,1292288,-0.0035596502,17.376842,0.008653993,1292288,0.1,146.0
0.39831915,1180.2202837467194,632,48.384528630000005,1148,0.7458156943321228,1294336,-0.0030743803,18.410254,0.012042733,1294336,0.10859375,148.19
0.3932848,1182.0047891139984,633,50.518823360000006,1139,0.719517856836319,1296384,-0.0022375877,19.723372,0.0056316224,1296384,0.06689453,152.35
0.39770138,1183.8031215667725,634,53.54884129,1120,0.7592986226081848,1298432,-0.002376552,21.296385,0.007391381,1298432,0.09072266,157.37
0.4010395,1185.6310760974884,635,57.903988149999996,1091,0.8406600952148438,1300480,-0.0009490491,11.652581,0.008776163,1300480,0.09506836,167.13
0.4098443,1187.5088138580322,636,57.60686380999999,1110,0.8063005357980728,1302528,-0.0031542978,15.140585,0.010672577,1302528,0.11821289,166.84
0.40708894,1189.3531613349915,637,56.865908749999996,1200,0.832329735159874,1304576,-0.0030257558,15.653639,0.0076639345,1304576,0.09023438,165.74
0.42225584,1191.059357881546,638,62.78118650999999,1115,0.7512831836938858,1306624,-0.0016703453,16.631495,0.011055608,1306624,0.12045898,178.1
0.44335756,1192.8959064483643,639,67.04834724,1077,0.7166251540184021,1308672,-0.002184541,18.77349,0.0061321496,1308672,0.072314456,185.67
0.44322887,1194.7975029945374,640,69.24735651,1138,0.7930775433778763,1310720,0.0010850363,15.930263,0.010861106,1310720,0.10805664,189.58
0.44697532,1196.5963909626007,641,67.0587427,1154,0.7471730411052704,1312768,-0.0046079108,19.311407,0.011238894,1312768,0.111376956,186.7
0.43965024,1198.3710942268372,642,68.35351093999999,1144,0.8568270951509476,1314816,-0.00034716772,5.783806,0.0111066485,1314816,0.12397461,189.56
0.40593362,1200.1614151000977,643,68.35351093999999,1119,0.2589656114578247,1316864,-0.0008640555,4.1458426,0.009432708,1316864,0.102832034,189.56
0.37892538,1201.9922213554382,644,68.35351093999999,1166,0.5386208593845367,1318912,0.0013311338,2.397407,0.009335622,1318912,0.10585938,189.56
0.35498273,1203.7489438056946,645,68.35351093999999,1067,0.6708744466304779,1320960,0.0005875233,1.6705744,0.010684129,1320960,0.12041016,189.56
0.3401609,1205.6686770915985,646,68.35351093999999,1107,0.7610171586275101,1323008,-0.0009635892,1.1768863,0.009710008,1323008,0.11450195,189.56
0.3308312,1207.518581867218,647,68.35351093999999,1131,0.8046433329582214,1325056,-0.0013102731,0.85874987,0.0071573853,1325056,0.08706055,189.56
0.3121179,1209.328665971756,648,68.35351093999999,1138,0.8328103870153427,1327104,-0.003522105,0.77358747,0.008512519,1327104,0.09882812,189.56
0.29721496,1211.128176689148,649,68.35351093999999,1098,0.8365206718444824,1329152,-0.0011401349,0.6823457,0.007229703,1329152,0.08432617,189.56
0.28178182,1212.9932177066803,650,68.35351093999999,1105,0.8955459371209145,1331200,-0.0012685899,0.38941628,0.009250851,1331200,0.10654297,189.56
0.25581822,1214.8540682792664,651,68.35351093999999,1150,0.9035600647330284,1333248,-0.002317653,0.37897468,0.008752601,1333248,0.10126953,189.56
0.23835866,1216.6344537734985,652,68.35351093999999,1118,0.9214465618133545,1335296,-0.0018519526,0.27513796,0.0075558014,1335296,0.094335936,189.56
0.22286005,1218.4662902355194,653,68.35351093999999,1149,0.935154914855957,1337344,-0.0023787643,0.21262018,0.010167504,1337344,0.11625977,189.56
0.2044955,1220.2481713294983,654,68.35351093999999,1105,0.9448885172605515,1339392,0.00065599446,0.18256155,0.00939498,1339392,0.103710935,189.56
0.18997298,1222.1016492843628,655,68.35351093999999,1143,0.938703790307045,1341440,-0.0018839987,0.19905241,0.010468351,1341440,0.11875,189.56
0.19182765,1223.8926451206207,656,68.35351093999999,1069,0.9497762359678745,1343488,-0.0018309287,0.15091425,0.009697603,1343488,0.12045898,189.56
0.18636689,1225.8083772659302,657,68.35351093999999,1101,0.9542783424258232,1345536,-0.0022291976,0.12508984,0.010448517,1345536,0.1234375,189.56
0.17025885,1227.6676545143127,658,68.35351093999999,1072,0.9701249971985817,1347584,-0.00058426533,0.08171397,0.011149669,1347584,0.12382813,189.56
0.17054352,1229.5773584842682,659,68.35351093999999,1150,0.9691885281354189,1349632,-0.0033358533,0.08255478,0.014700952,1349632,0.16010742,189.56
0.1838806,1231.36674118042,660,68.35351093999999,1097,0.9719309378415346,1351680,-0.004507031,0.076589085,0.011445322,1351680,0.13681641,189.56
0.18703875,1233.2334213256836,661,68.35351093999999,1114,0.9781665429472923,1353728,-0.0017461793,0.061845966,0.011890548,1353728,0.14160156,189.56
0.17757466,1235.0715351104736,662,68.35351093999999,1104,0.9856770467013121,1355776,-0.000740383,0.03993828,0.009721635,1355776,0.11489258,189.56
0.17322093,1236.927238702774,663,68.35351093999999,1093,0.9907324248924851,1357824,-0.0050690398,0.024306787,0.012819859,1357824,0.14482422,189.56
0.1721423,1238.8011000156403,664,68.35351093999999,1059,0.985780268907547,1359872,-0.0016720087,0.04114943,0.011552232,1359872,0.13325195,189.56
0.17280906,1240.7344844341278,665,68.35351093999999,1120,0.9836865812540054,1361920,-0.008788159,0.050273933,0.01154609,1361920,0.13496093,189.56
0.17565493,1242.56290268898,666,289.96976683,1116,0.5825617015361786,1363968,0.00042086924,42.910633,0.019342115,1363968,0.14892578,668.42
0.18408068,1244.3973445892334,667,273.10084843,1090,0.14496654272079468,1366016,-0.0010809599,63.171246,0.01114675,1366016,0.1283203,626.68
0.19554995,1246.276704788208,668,254.28238972999995,1146,0.16603946685791016,1368064,-0.004202054,58.987,0.01338804,1368064,0.12924805,581.5
0.19805084,1248.0643119812012,669,19.06046363,1134,0.5836793482303619,1370112,-0.00087106193,30.305119,0.009388143,1370112,0.109033205,69.9
0.2008435,1249.8703815937042,670,19.775079759999997,1141,0.48474717140197754,1372160,-0.0034692374,39.359215,0.010726592,1372160,0.12114258,71.81
0.20800862,1251.6648495197296,671,20.176180700000003,1129,0.5215452015399933,1374208,-0.0027844852,34.850967,0.013194619,1374208,0.14487305,72.19
0.20898397,1253.477902173996,672,22.562448849999996,1095,0.7632779479026794,1376256,-0.0037504449,31.814865,0.0064503253,1376256,0.078125,76.04
0.21403363,1255.3486170768738,673,21.64484453,1110,0.5598223805427551,1378304,-0.006781023,33.620686,0.011051949,1378304,0.120996095,72.88
0.22084579,1257.1943061351776,674,22.921841920000002,1106,0.6992787420749664,1380352,-0.0030751307,23.123096,0.009989312,1380352,0.11411133,76.73
0.21556263,1259.0461764335632,675,24.02876063,1090,0.8213257640600204,1382400,-0.0041703684,14.967,0.009835611,1382400,0.11044922,79.77
0.22941339,1260.9326343536377,676,23.932958869999997,1111,0.7921183258295059,1384448,-0.0029199712,14.684235,0.011990914,1384448,0.12802735,82.33
0.24697752,1262.7761096954346,677,27.491751670000006,1139,0.8546455353498459,1386496,-0.0058304965,16.463037,0.008084014,1386496,0.10078125,89.98
0.2500344,1264.5732576847076,678,29.067376070000005,1137,0.82651486992836,1388544,-0.0041240947,17.48268,0.009720531,1388544,0.11352539,93.3
0.24852605,1266.3750612735748,679,29.036762049999997,1130,0.8994690701365471,1390592,-0.0022584416,7.0266943,0.011936342,1390592,0.13710937,93.71
0.2492784,1268.1869599819183,680,29.686404520000007,1126,0.8989457860589027,1392640,-0.0042103278,8.67391,0.009450061,1392640,0.10727539,95.06
0.25019717,1270.0058109760284,681,30.604851169999996,1132,0.8000282943248749,1394688,-0.008086102,17.9423,0.0104066655,1394688,0.11577149,96.7
0.25632414,1271.8153367042542,682,28.909393140000002,1150,0.8306801319122314,1396736,-0.002340598,9.938332,0.008804806,1396736,0.10541992,92.4
0.26064306,1273.5968494415283,683,31.45897032,1121,0.8611747324466705,1398784,-0.005040451,15.188799,0.0073217475,1398784,0.08588867,98.08
0.268622,1275.4229972362518,684,34.15708445999999,1118,0.8775834813714027,1400832,-0.0042314967,14.07518,0.012483421,1400832,0.12080078,102.58
0.2806061,1277.255399942398,685,33.07311915,1113,0.8203906714916229,1402880,-0.00067582,15.951114,0.014036803,1402880,0.14736328,99.22
0.27944988,1279.103774547577,686,36.45339343,1064,0.7730949372053146,1404928,-0.003031604,20.098194,0.007912835,1404928,0.08798828,106.65
0.276833,1281.0279896259308,687,36.88237553,1106,0.8922917023301125,1406976,-0.003477335,10.270159,0.012012985,1406976,0.1265625,106.85
0.2812913,1282.879090309143,688,29.8106927,1119,0.7991929650306702,1409024,-0.0049471487,12.062443,0.010572126,1409024,0.120751955,89.86
0.28290504,1284.7095954418182,689,35.38784363,1092,0.8400064706802368,1411072,-0.0029358775,19.583744,0.0072418964,1411072,0.08828125,102.83
0.2900939,1286.5840644836426,690,36.54562058,1127,0.8594798296689987,1413120,-0.0027429294,17.309837,0.008527182,1413120,0.095751956,105.41
0.30669647,1288.4017238616943,691,40.37960828,1120,0.8169936090707779,1415168,-0.0037082422,21.349825,0.010185628,1415168,0.119335935,113.69
0.30992976,1290.2303247451782,692,40.33877472,1123,0.8493107259273529,1417216,-0.008439144,18.407349,0.012017945,1417216,0.13496093,111.44
0.3032222,1292.0532064437866,693,44.607943369999994,1155,0.854292631149292,1419264,-0.0051187878,14.95634,0.00919448,1419264,0.1081543,120.62
0.302348,1293.8266189098358,694,50.27749303000002,1074,0.8002492189407349,1421312,-0.0022230388,22.950214,0.009417651,1421312,0.102148436,131.49
0.31271276,1295.7330484390259,695,51.93534909,1098,0.7565318644046783,1423360,-0.006400331,35.84307,0.009716264,1423360,0.1050293,131.71
0.31621203,1297.5977923870087,696,57.61167837000001,1160,0.8292183429002762,1425408,-0.0043689385,20.777313,0.008540502,1425408,0.09399414,143.24
0.31429717,1299.362778186798,697,56.390106180000004,1141,0.8519068211317062,1427456,-0.00076062727,15.349957,0.011906012,1427456,0.12841797,141.54
0.31630787,1301.1652739048004,698,61.230930740000005,1180,0.7118397653102875,1429504,-0.00044176643,24.138609,0.014785752,1429504,0.13481446,151.36
0.31561032,1302.9003429412842,699,62.285481569999995,1111,0.7051885426044464,1431552,-0.0045511937,30.65098,0.010466205,1431552,0.10449219,153.42
0.2961821,1304.7443251609802,700,68.16918444999999,1115,0.7190788686275482,1433600,-0.0063561164,23.854069,0.014749867,1433600,0.14814453,166.94
0.2858203,1306.5970199108124,701,75.4122563,1150,0.7477694153785706,1435648,-0.0035056968,20.246723,0.013317758,1435648,0.13789062,183.18
0.28234318,1308.3781352043152,702,79.84984391,1100,0.7946449220180511,1437696,-0.005286528,22.933247,0.01154535,1437696,0.12089844,191.9
0.28405786,1310.2394878864288,703,83.39606375000001,1149,0.8348392397165298,1439744,-0.0035728172,19.899824,0.015573519,1439744,0.16020508,200.25
0.2921077,1312.0214121341705,704,84.90495981999999,1128,0.8346749544143677,1441792,-0.0047343434,18.662436,0.013732279,1441792,0.13579102,204.13
0.290847,1313.8366765975952,705,85.79436503000001,1167,0.7292512655258179,1443840,-0.0072586937,28.28036,0.01668096,1443840,0.14799805,207.12
0.28822967,1315.5919950008392,706,85.92670793,1112,0.8392186462879181,1445888,-0.0023189385,18.611317,0.010839996,1445888,0.11123047,208.43
0.29658478,1317.433168888092,707,92.17336805999999,1084,0.7112050354480743,1447936,-0.003988506,25.13618,0.009500775,1447936,0.10834961,220.23
0.29898107,1319.321935415268,708,93.78413683999997,1122,0.7244731485843658,1449984,-0.003116272,32.283413,0.010430088,1449984,0.10551758,221.69
0.30057263,1321.1465394496918,709,83.05145365999996,1071,0.8689210116863251,1452032,-0.006247099,18.988628,0.009188197,1452032,0.10161133,199.39
0.31395584,1323.0586123466492,710,81.26552586,1045,0.8100755363702774,1454080,-0.00412453,19.725933,0.012082056,1454080,0.1293457,194.09
0.32864887,1325.018930196762,711,83.17515028999998,1148,0.7981101423501968,1456128,-0.0022093528,18.131037,0.009521815,1456128,0.10175781,195.95
0.3380316,1326.8023388385773,712,82.1686651,1165,0.8419083505868912,1458176,-0.005866378,18.916012,0.011681437,1458176,0.11967774,192.06
0.3395774,1328.5606501102448,713,87.02748095999999,1087,0.7388832569122314,1460224,-0.006479329,20.743057,0.010743388,1460224,0.10664062,199.92
0.34212977,1330.4438560009003,714,88.78683150999997,1128,0.7760443091392517,1462272,-0.0040907925,24.917597,0.0076825544,1462272,0.09067383,202.75
0.33802935,1332.258736371994,715,88.49192635000003,1132,0.6758712530136108,1464320,-0.0043658884,17.306942,0.015396203,1464320,0.1652832,207.02
0.3262112,1334.0669980049133,716,91.16407156,1178,0.7467545866966248,1466368,-0.0022562952,21.145166,0.00984451,1466368,0.109472655,213.98
0.31537133,1335.8056139945984,717,92.37253659000002,1133,0.796691820025444,1468416,-0.0012671341,14.047124,0.0172435,1468416,0.13784179,215.89
0.3138569,1337.6130187511444,718,92.88007164999999,1142,0.8169934302568436,1470464,-0.0033746087,21.695309,0.0057026427,1470464,0.06923828,217.08
0.31319827,1339.4059519767761,719,97.02634698,1116,0.7651643007993698,1472512,-0.0062912283,18.063213,0.013695404,1472512,0.12797852,226.23
0.31585842,1341.240961074829,720,100.58834819999998,1156,0.7196359932422638,1474560,0.000494154,22.84849,0.0142923845,1474560,0.13188477,234.19
0.3287658,1343.0123677253723,721,102.56235718000002,1140,0.8429431468248367,1476608,-0.0039249184,17.74889,0.008060002,1476608,0.08598633,239.44
0.32482737,1344.808988571167,722,95.23641495000001,1149,0.8422009348869324,1478656,-0.0074363747,17.8604,0.008587387,1478656,0.099414065,225.5
0.32316154,1346.5914449691772,723,96.19024042999997,1140,0.8188401013612747,1480704,-0.009629549,18.483501,0.009529213,1480704,0.10258789,228.27
0.32820454,1348.3953342437744,724,93.57397499000001,1126,0.7871792018413544,1482752,-0.0031384728,20.129284,0.016886596,1482752,0.13774414,223.8
0.32930064,1350.2140138149261,725,95.09169691,1083,0.7823983877897263,1484800,-0.0079602385,17.055584,0.010620519,1484800,0.10585938,228.54
0.3371994,1352.1117985248566,726,91.60707459000001,1075,0.8069815337657928,1486848,-0.0045900764,19.619068,0.011031372,1486848,0.11611328,217.23
0.34034422,1354.0162782669067,727,92.63063597000001,1121,0.8568659275770187,1488896,-0.0021043494,13.267842,0.012239799,1488896,0.11577149,219.02
0.34063497,1355.8429546356201,728,93.73641502000001,1128,0.6894269585609436,1490944,-0.008244881,24.711823,0.011218417,1490944,0.12207031,220.07
0.34313983,1357.6582992076874,729,98.83401831,1138,0.6375792622566223,1492992,-0.0012860415,22.800419,0.012235941,1492992,0.11376953,230.75
0.3372227,1359.4580731391907,730,98.91160675,1159,0.6212864816188812,1495040,-0.0064409324,23.73527,0.010499988,1495040,0.11860351,229.81
0.33928698,1361.2256405353546,731,100.89145596999998,1162,0.6596094071865082,1497088,-0.0018657712,21.660007,0.014553318,1497088,0.13916016,234.19
0.35385004,1362.9883980751038,732,100.92331454,1136,0.6805620193481445,1499136,-0.0051985756,19.80948,0.015598011,1499136,0.15,235.8
0.36136082,1364.7917866706848,733,106.56849192000001,1176,0.813315138220787,1501184,0.0016165016,13.209589,0.008342003,1501184,0.095019534,247.09
0.35867673,1366.53293633461,734,114.93280681,1133,0.7630288153886795,1503232,-0.0032809502,16.878162,0.012609976,1503232,0.12753907,262.87
0.35446578,1368.340347290039,735,114.73089418,1177,0.787765383720398,1505280,-0.0047917725,20.30564,0.005520555,1505280,0.068115234,264.03
0.34985113,1370.080959558487,736,116.35302976999999,1135,0.7291954755783081,1507328,-0.004937423,18.129726,0.013260598,1507328,0.13320312,269.44
0.34222913,1371.8851034641266,737,114.48691901000002,1166,0.6749108135700226,1509376,-0.006280385,20.885738,0.011516588,1509376,0.13007812,266.49
0.33301276,1373.6418826580048,738,117.44526085000001,1138,0.8200772255659103,1511424,-0.0026771692,15.074925,0.009142931,1511424,0.09921875,271.44
0.33814466,1375.4408042430878,739,118.47482689,1114,0.7909841537475586,1513472,-0.0042409576,12.6056795,0.010389319,1513472,0.10932617,274.64
0.34373686,1377.2793979644775,740,120.63639839000001,1145,0.7515627592802048,1515520,-0.0007073075,17.008274,0.0056374623,1515520,0.06435547,279.36
0.34653825,1379.0673282146454,741,124.77856320000001,1091,0.8161054849624634,1517568,-0.00463096,10.365019,0.02052155,1517568,0.11948242,286.66
0.35243058,1380.943915605545,742,126.20973830000003,1121,0.71607905626297,1519616,-0.00080139714,17.051285,0.01403604,1519616,0.1440918,290.08
0.36719674,1382.7712523937225,743,126.20973830000003,1160,0.12262469530105591,1521664,0.0024842946,8.044157,0.01709849,1521664,0.17172852,290.08
0.36249644,1384.545013666153,744,126.20973830000003,1021,0.21533328294754028,1523712,-0.00019103165,5.4605017,0.011555313,1523712,0.1349121,290.08
0.34248608,1386.5504641532898,745,126.20973830000003,1117,0.37348997592926025,1525760,-1.7617678e-05,3.4029572,0.010275209,1525760,0.107617185,290.08
0.31931177,1388.3841013908386,746,126.20973830000003,1159,0.39122676849365234,1527808,-0.0001676809,2.8428764,0.008969278,1527808,0.107421875,290.08
0.29962653,1390.159768819809,747,126.20973830000003,1113,0.36782151460647583,1529856,-0.0005839324,2.558814,0.010591114,1529856,0.12006836,290.08
